name,email,address,assigned_course
Katherine Heasley,kheasley0@abc.net.au,1 Bowman Street,Cybersecurity
Alonso Guillford,aguillford1@tmall.com,0004 Hudson Terrace,Information Technology
Linnell McMeekan,lmcmeekan2@chicagotribune.com,403 Meadow Ridge Avenue,Information Technology
Whitman Gladdor,wgladdor3@arstechnica.com,91 Melvin Avenue,Computer Science
Gusty Stammer,gstammer4@economist.com,07 Moose Park,Information Technology
Annis Macey,amacey5@independent.co.uk,999 Holy Cross Parkway,Computer Science
Kory Garrod,kgarrod6@blinklist.com,9522 Goodland Center,Computer Science
Dacia Yeskov,dyeskov7@fastcompany.com,92 Debs Street,Cybersecurity
Winfred Casella,wcasella8@fotki.com,2 Debs Road,Information Technology
Helyn Splevin,hsplevin9@unc.edu,2 Hayes Circle,Cybersecurity
Cyrillus Mishaw,cmishawa@issuu.com,248 Pankratz Center,Computer Science
Porty Topliss,ptoplissb@blog.com,07349 Bashford Plaza,Information Technology
Clem Tolussi,ctolussic@php.net,96 Blaine Trail,Cybersecurity
Joycelin Cavolini,jcavolinid@samsung.com,481 Delaware Lane,Information Technology
Leeanne Hockell,lhockelle@nba.com,86 Anniversary Court,Computer Science
Aharon Tampen,atampenf@shutterfly.com,8896 Rockefeller Plaza,Cybersecurity
Aviva Benoix,abenoixg@hc360.com,7614 Hollow Ridge Hill,Cybersecurity
Chelsy Wreak,cwreakh@msu.edu,6462 Holy Cross Court,Information Technology
Klement Pudge,kpudgei@yahoo.com,85921 Merry Junction,Cybersecurity
Durward Bwy,dbwyj@phoca.cz,2 Esch Place,Information Technology
Moyra Magauran,mmagaurank@dmoz.org,6 Dayton Pass,Information Technology
Gypsy Nevin,gnevinl@naver.com,72 4th Avenue,Computer Science
Calli Hughlock,chughlockm@go.com,897 West Lane,Computer Science
Lindsay Polson,lpolsonn@forbes.com,50096 Magdeline Junction,Computer Science
Antone Rouge,arougeo@nymag.com,511 Schiller Park,Information Technology
Thurston Roz,trozp@amazon.co.jp,3 Northwestern Avenue,Information Technology
Holly Stockwell,hstockwellq@deviantart.com,770 Riverside Pass,Information Technology
Anderson Burford,aburfordr@reddit.com,612 Sherman Plaza,Cybersecurity
Alfreda Mattingly,amattinglys@google.com,921 Stang Way,Information Technology
Jerrine Glauber,jglaubert@weibo.com,63685 Ridgeview Trail,Information Technology
Heriberto Kitching,hkitchingu@spotify.com,11956 Gateway Pass,Computer Science
Elmer Gameson,egamesonv@omniture.com,57 Oak Avenue,Computer Science
Buddy Casarini,bcasariniw@state.gov,1650 Gerald Alley,Computer Science
Doe Horrod,dhorrodx@geocities.jp,9 Victoria Plaza,Cybersecurity
